date,country,gold,silver,bronze
2018-02-23,KAZ,0,0,1
2018-02-23,LAT,0,0,1
2018-02-23,LIE,0,0,1
2018-02-23,BEL,0,0,0
2018-02-24,NOR,13,14,11
2018-02-24,GER,13,8,7
2018-02-24,CAN,11,8,10
2018-02-24,USA,9,8,6
2018-02-24,NED,8,6,6
2018-02-24,SWE,6,6,0
2018-02-24,KOR,5,6,4
2018-02-24,SUI,5,6,4
2018-02-24,FRA,5,4,6
2018-02-24,AUT,5,3,6
2018-02-24,JPN,4,5,4
2018-02-24,ITA,3,2,5
2018-02-24,CZE,2,2,3
2018-02-24,BLR,2,1,0
2018-02-24,OAR,1,6,9
2018-02-24,CHN,1,6,2
2018-02-24,SVK,1,2,0
2018-02-24,FIN,1,0,4
2018-02-24,GBR,1,0,4
2018-02-24,POL,1,0,1
2018-02-24,HUN,1,0,0
2018-02-24,UKR,1,0,0
2018-02-24,AUS,0,2,1
2018-02-24,SLO,0,1,1
2018-02-24,BEL,0,1,0
2018-02-24,ESP,0,0,2
2018-02-24,NZL,0,0,2
2018-02-24,KAZ,0,0,1
2018-02-24,LAT,0,0,1
2018-02-24,LIE,0,0,1
2018-02-25,NOR,14,14,11
2018-02-25,GER,14,10,7
2018-02-25,CAN,11,8,10
2018-02-25,USA,9,8,6
2018-02-25,NED,8,6,6
2018-02-25,SWE,7,6,1
2018-02-25,KOR,5,8,4
2018-02-25,SUI,5,6,4
2018-02-25,FRA,5,4,6
2018-02-25,AUT,5,3,6
2018-02-25,JPN,4,5,4
2018-02-25,ITA,3,2,5
2018-02-25,OAR,2,6,9
2018-02-25,CZE,2,2,3
2018-02-25,BLR,2,1,0
2018-02-25,CHN,1,6,2
2018-02-25,SVK,1,2,0
2018-02-25,FIN,1,1,4
2018-02-25,GBR,1,0,4
2018-02-25,POL,1,0,1
2018-02-25,HUN,1,0,0
2018-02-25,UKR,1,0,0
2018-02-25,AUS,0,2,1
2018-02-25,SLO,0,1,1
2018-02-25,BEL,0,1,0
2018-02-25,ESP,0,0,2
2018-02-25,NZL,0,0,2
2018-02-25,KAZ,0,0,1
2018-02-25,LAT,0,0,1
2018-02-25,LIE,0,0,1
